n°Record;Freq;Signal-Level [];Video Quality (0-1-2);LAT;N/S;LON;E/W;DIST GPS[Km];Speed GPS[Km/h];DISTODO[Km];Speed ODO [km/h];Date;Time ;CRC-error;EMF level [dBuV/m];Antenna K factor [dB/m];Correction [dB]
9;619500000;-;2;45.069764;N;7.665521;E;0.01;3.976120;-;-;18/11/2024;08:36:06;0;-;-;-
18;619500000;-;2;45.069715;N;7.665639;E;0.02;4.096813;-;-;18/11/2024;08:36:15;0;-;-;-
26;619500000;-;2;45.069672;N;7.665750;E;0.03;4.313833;-;-;18/11/2024;08:36:23;0;-;-;-
32;619500000;-;2;45.069632;N;7.665863;E;0.04;5.845964;-;-;18/11/2024;08:36:29;0;-;-;-
39;619500000;-;2;45.069590;N;7.665962;E;0.05;5.666528;-;-;18/11/2024;08:36:36;0;-;-;-
46;619500000;-;2;45.069593;N;7.666086;E;0.06;5.610196;-;-;18/11/2024;08:36:43;0;-;-;-
52;619500000;-;2;45.069533;N;7.666185;E;0.07;7.649794;-;-;18/11/2024;08:36:49;0;-;-;-
60;619500000;-;2;45.069471;N;7.666283;E;0.09;6.114448;-;-;18/11/2024;08:36:57;0;-;-;-
68;619500000;-;2;45.069423;N;7.666408;E;0.10;7.412419;-;-;18/11/2024;08:37:05;0;-;-;-
74;619500000;-;2;45.069397;N;7.666531;E;0.11;7.481179;-;-;18/11/2024;08:37:11;0;-;-;-
80;619500000;-;2;45.069327;N;7.666624;E;0.12;6.202305;-;-;18/11/2024;08:37:17;0;-;-;-
85;619500000;-;2;45.069257;N;7.666709;E;0.13;5.810040;-;-;18/11/2024;08:37:22;0;-;-;-
92;619500000;-;2;45.069189;N;7.666820;E;0.14;6.270770;-;-;18/11/2024;08:37:29;0;-;-;-
97;619500000;-;2;45.069175;N;7.666930;E;0.15;17.464330;-;-;18/11/2024;08:37:34;0;-;-;-
101;619500000;-;2;45.069180;N;7.667075;E;0.16;7.503325;-;-;18/11/2024;08:37:38;0;-;-;-
106;619500000;-;2;45.069159;N;7.667204;E;0.17;6.659797;-;-;18/11/2024;08:37:43;0;-;-;-
117;619500000;-;2;45.069121;N;7.667319;E;0.19;1.998824;-;-;18/11/2024;08:37:54;0;-;-;-
142;619500000;-;2;45.069074;N;7.667415;E;0.20;6.613882;-;-;18/11/2024;08:38:19;0;-;-;-
149;619500000;-;2;45.069025;N;7.667537;E;0.21;4.170287;-;-;18/11/2024;08:38:26;0;-;-;-
158;619500000;-;2;45.068980;N;7.667659;E;0.22;6.994439;-;-;18/11/2024;08:38:35;0;-;-;-
165;619500000;-;2;45.068915;N;7.667755;E;0.23;4.303094;-;-;18/11/2024;08:38:40;0;-;-;-
172;619500000;-;2;45.068880;N;7.667869;E;0.24;7.580498;-;-;18/11/2024;08:38:47;0;-;-;-
179;619500000;-;2;45.068829;N;7.667971;E;0.25;6.644711;-;-;18/11/2024;08:38:54;0;-;-;-
185;619500000;-;2;45.068768;N;7.668088;E;0.26;7.185241;-;-;18/11/2024;08:39:00;0;-;-;-
191;619500000;-;2;45.068731;N;7.668213;E;0.27;5.986665;-;-;18/11/2024;08:39:06;0;-;-;-
197;619500000;-;2;45.068675;N;7.668315;E;0.28;6.910899;-;-;18/11/2024;08:39:12;0;-;-;-
206;619500000;-;2;45.068618;N;7.668424;E;0.29;4.215922;-;-;18/11/2024;08:39:21;0;-;-;-
214;619500000;-;2;45.068572;N;7.668548;E;0.30;7.386166;-;-;18/11/2024;08:39:29;0;-;-;-
222;619500000;-;2;45.068518;N;7.668677;E;0.32;8.711374;-;-;18/11/2024;08:39:37;0;-;-;-
230;619500000;-;2;45.068493;N;7.668820;E;0.33;11.715383;-;-;18/11/2024;08:39:45;0;-;-;-
235;619500000;-;2;45.068431;N;7.668926;E;0.34;7.549287;-;-;18/11/2024;08:39:50;0;-;-;-
241;619500000;-;2;45.068373;N;7.669031;E;0.35;6.227189;-;-;18/11/2024;08:39:56;0;-;-;-
249;619500000;-;2;45.068322;N;7.669150;E;0.36;5.708629;-;-;18/11/2024;08:40:04;0;-;-;-
255;619500000;-;2;45.068271;N;7.669264;E;0.37;6.671397;-;-;18/11/2024;08:40:10;0;-;-;-
262;619500000;-;2;45.068237;N;7.669385;E;0.38;7.940159;-;-;18/11/2024;08:40:17;0;-;-;-
268;619500000;-;2;45.068227;N;7.669529;E;0.39;6.620194;-;-;18/11/2024;08:40:23;0;-;-;-
274;619500000;-;2;45.068155;N;7.669626;E;0.41;7.913531;-;-;18/11/2024;08:40:29;0;-;-;-
280;619500000;-;2;45.068111;N;7.669735;E;0.42;7.504619;-;-;18/11/2024;08:40:35;0;-;-;-
285;619500000;-;2;45.068108;N;7.669862;E;0.43;7.269384;-;-;18/11/2024;08:40:40;0;-;-;-
290;619500000;-;2;45.068040;N;7.669952;E;0.44;7.844953;-;-;18/11/2024;08:40:45;0;-;-;-
296;619500000;-;2;45.067991;N;7.670085;E;0.45;7.089317;-;-;18/11/2024;08:40:51;0;-;-;-
301;619500000;-;2;45.067966;N;7.670206;E;0.46;8.547480;-;-;18/11/2024;08:40:56;0;-;-;-
307;619500000;-;2;45.067941;N;7.670337;E;0.47;5.141932;-;-;18/11/2024;08:41:02;0;-;-;-
314;619500000;-;2;45.067882;N;7.670462;E;0.48;6.931081;-;-;18/11/2024;08:41:09;0;-;-;-
320;619500000;-;2;45.067846;N;7.670577;E;0.49;5.630826;-;-;18/11/2024;08:41:15;0;-;-;-
326;619500000;-;2;45.067827;N;7.670702;E;0.50;6.563516;-;-;18/11/2024;08:41:21;0;-;-;-
333;619500000;-;2;45.067812;N;7.670830;E;0.51;6.333047;-;-;18/11/2024;08:41:28;0;-;-;-
341;619500000;-;2;45.067785;N;7.670955;E;0.52;5.505323;-;-;18/11/2024;08:41:36;0;-;-;-
347;619500000;-;2;45.067739;N;7.671068;E;0.53;7.431628;-;-;18/11/2024;08:41:42;0;-;-;-
353;619500000;-;2;45.067686;N;7.671184;E;0.54;5.844266;-;-;18/11/2024;08:41:48;0;-;-;-
359;619500000;-;2;45.067630;N;7.671293;E;0.56;7.906620;-;-;18/11/2024;08:41:54;0;-;-;-
366;619500000;-;2;45.067603;N;7.671419;E;0.57;4.178810;-;-;18/11/2024;08:42:01;0;-;-;-
373;619500000;-;2;45.067556;N;7.671527;E;0.58;5.608524;-;-;18/11/2024;08:42:08;0;-;-;-
378;619500000;-;2;45.067542;N;7.671643;E;0.59;4.546103;-;-;18/11/2024;08:42:13;0;-;-;-
387;619500000;-;2;45.067542;N;7.671759;E;0.60;2.443148;-;-;18/11/2024;08:42:22;0;-;-;-
396;619500000;-;2;45.067509;N;7.671886;E;0.61;7.854030;-;-;18/11/2024;08:42:31;0;-;-;-
402;619500000;-;2;45.067459;N;7.672014;E;0.62;6.516418;-;-;18/11/2024;08:42:37;0;-;-;-
408;619500000;-;2;45.067417;N;7.672126;E;0.63;5.530934;-;-;18/11/2024;08:42:43;0;-;-;-
414;619500000;-;2;45.067367;N;7.672249;E;0.64;4.890608;-;-;18/11/2024;08:42:49;0;-;-;-
423;619500000;-;2;45.067311;N;7.672348;E;0.65;6.838591;-;-;18/11/2024;08:42:58;0;-;-;-
430;619500000;-;2;45.067256;N;7.672452;E;0.66;5.069225;-;-;18/11/2024;08:43:05;0;-;-;-
438;619500000;-;2;45.067188;N;7.672557;E;0.67;4.989642;-;-;18/11/2024;08:43:13;0;-;-;-
445;619500000;-;2;45.067126;N;7.672659;E;0.68;5.414652;-;-;18/11/2024;08:43:20;0;-;-;-
452;619500000;-;2;45.067065;N;7.672752;E;0.69;6.327182;-;-;18/11/2024;08:43:27;0;-;-;-
459;619500000;-;2;45.067015;N;7.672874;E;0.70;5.919579;-;-;18/11/2024;08:43:34;0;-;-;-
466;619500000;-;2;45.066981;N;7.673002;E;0.72;5.862396;-;-;18/11/2024;08:43:41;0;-;-;-
474;619500000;-;2;45.066929;N;7.673111;E;0.73;4.874306;-;-;18/11/2024;08:43:49;0;-;-;-
481;619500000;-;2;45.066886;N;7.673236;E;0.74;5.754673;-;-;18/11/2024;08:43:56;0;-;-;-
488;619500000;-;2;45.066848;N;7.673361;E;0.75;4.873864;-;-;18/11/2024;08:44:03;0;-;-;-
495;619500000;-;2;45.066808;N;7.673490;E;0.76;6.758006;-;-;18/11/2024;08:44:10;0;-;-;-
501;619500000;-;2;45.066800;N;7.673627;E;0.77;10.550061;-;-;18/11/2024;08:44:16;0;-;-;-
507;619500000;-;2;45.066766;N;7.673767;E;0.78;6.977686;-;-;18/11/2024;08:44:22;0;-;-;-
513;619500000;-;2;45.066740;N;7.673904;E;0.79;6.866141;-;-;18/11/2024;08:44:28;0;-;-;-
520;619500000;-;2;45.066683;N;7.674030;E;0.81;6.703943;-;-;18/11/2024;08:44:35;0;-;-;-
526;619500000;-;2;45.066647;N;7.674155;E;0.82;5.895803;-;-;18/11/2024;08:44:41;0;-;-;-
534;619500000;-;2;45.066593;N;7.674262;E;0.83;6.161737;-;-;18/11/2024;08:44:49;0;-;-;-
540;619500000;-;2;45.066583;N;7.674390;E;0.84;6.408857;-;-;18/11/2024;08:44:55;0;-;-;-
547;619500000;-;2;45.066564;N;7.674512;E;0.85;4.720375;-;-;18/11/2024;08:45:02;0;-;-;-
553;619500000;-;2;45.066493;N;7.674599;E;0.86;5.484727;-;-;18/11/2024;08:45:08;0;-;-;-
559;619500000;-;2;45.066442;N;7.674716;E;0.87;6.078911;-;-;18/11/2024;08:45:14;0;-;-;-
563;619500000;-;2;45.066457;N;7.674856;E;0.88;9.722259;-;-;18/11/2024;08:45:18;0;-;-;-
568;619500000;-;2;45.066429;N;7.674993;E;0.89;6.642340;-;-;18/11/2024;08:45:23;0;-;-;-
574;619500000;-;2;45.066380;N;7.675123;E;0.90;6.447195;-;-;18/11/2024;08:45:29;0;-;-;-
579;619500000;-;2;45.066339;N;7.675240;E;0.92;7.390347;-;-;18/11/2024;08:45:34;0;-;-;-
585;619500000;-;2;45.066291;N;7.675355;E;0.93;5.479232;-;-;18/11/2024;08:45:40;0;-;-;-
592;619500000;-;2;45.066241;N;7.675478;E;0.94;5.825134;-;-;18/11/2024;08:45:47;0;-;-;-
606;619500000;-;2;45.066191;N;7.675587;E;0.95;4.992616;-;-;18/11/2024;08:46:01;0;-;-;-
612;619500000;-;2;45.066148;N;7.675696;E;0.96;5.344374;-;-;18/11/2024;08:46:07;0;-;-;-
619;619500000;-;2;45.066096;N;7.675809;E;0.97;5.811868;-;-;18/11/2024;08:46:14;0;-;-;-
626;619500000;-;2;45.066046;N;7.675917;E;0.98;4.632604;-;-;18/11/2024;08:46:21;0;-;-;-
633;619500000;-;2;45.066009;N;7.676035;E;0.99;4.929930;-;-;18/11/2024;08:46:28;0;-;-;-
641;619500000;-;2;45.065978;N;7.676160;E;1.00;5.048170;-;-;18/11/2024;08:46:36;0;-;-;-
647;619500000;-;2;45.065911;N;7.676258;E;1.01;6.461371;-;-;18/11/2024;08:46:42;0;-;-;-
655;619500000;-;2;45.065863;N;7.676375;E;1.02;4.896596;-;-;18/11/2024;08:46:50;0;-;-;-
663;619500000;-;2;45.065822;N;7.676500;E;1.03;5.447173;-;-;18/11/2024;08:46:58;0;-;-;-
669;619500000;-;2;45.065796;N;7.676617;E;1.04;6.164601;-;-;18/11/2024;08:47:04;0;-;-;-
675;619500000;-;2;45.065787;N;7.676736;E;1.05;4.852296;-;-;18/11/2024;08:47:10;0;-;-;-
681;619500000;-;2;45.065684;N;7.676824;E;1.07;18.700512;-;-;18/11/2024;08:47:16;0;-;-;-
687;619500000;-;2;45.065612;N;7.676924;E;1.08;6.258538;-;-;18/11/2024;08:47:22;0;-;-;-
695;619500000;-;2;45.065583;N;7.677059;E;1.09;6.541314;-;-;18/11/2024;08:47:30;0;-;-;-
702;619500000;-;2;45.065563;N;7.677177;E;1.10;5.608524;-;-;18/11/2024;08:47:37;0;-;-;-
709;619500000;-;2;45.065496;N;7.677282;E;1.11;11.663309;-;-;18/11/2024;08:47:44;0;-;-;-
715;619500000;-;2;45.065438;N;7.677397;E;1.13;6.998703;-;-;18/11/2024;08:47:50;0;-;-;-
721;619500000;-;0;45.065375;N;7.677519;E;1.14;7.854030;-;-;18/11/2024;08:47:56;0;-;-;-
728;619500000;-;2;45.065322;N;7.677637;E;1.15;5.032996;-;-;18/11/2024;08:48:03;0;-;-;-
734;619500000;-;2;45.065275;N;7.677758;E;1.16;5.290197;-;-;18/11/2024;08:48:09;0;-;-;-
740;619500000;-;2;45.065243;N;7.677879;E;1.17;5.602949;-;-;18/11/2024;08:48:15;0;-;-;-
748;619500000;-;0;45.065176;N;7.677965;E;1.18;6.855722;-;-;18/11/2024;08:48:23;0;-;-;-
756;619500000;-;0;45.065105;N;7.678019;E;1.19;5.897676;-;-;18/11/2024;08:48:31;0;-;-;-
764;619500000;-;0;45.065059;N;7.678130;E;1.20;4.996169;-;-;18/11/2024;08:48:39;0;-;-;-
771;619500000;-;0;45.064974;N;7.678187;E;1.21;4.615305;-;-;18/11/2024;08:48:46;0;-;-;-
776;619500000;-;2;45.064962;N;7.678313;E;1.22;9.369046;-;-;18/11/2024;08:48:51;0;-;-;-
781;619500000;-;2;45.064970;N;7.678436;E;1.23;10.216325;-;-;18/11/2024;08:48:56;0;-;-;-
783;619500000;-;2;45.064989;N;7.678588;E;1.25;19.328412;-;-;18/11/2024;08:48:58;0;-;-;-
791;619500000;-;2;45.064934;N;7.678648;E;1.26;3.900645;-;-;18/11/2024;08:49:06;0;-;-;-
803;619500000;-;2;45.064898;N;7.678714;E;1.27;3.755136;-;-;18/11/2024;08:49:18;0;-;-;-
807;619500000;-;2;45.064810;N;7.678716;E;1.28;9.607910;-;-;18/11/2024;08:49:22;0;-;-;-
812;619500000;-;2;45.064721;N;7.678681;E;1.29;6.988809;-;-;18/11/2024;08:49:27;0;-;-;-
817;619500000;-;0;45.064627;N;7.678673;E;1.30;6.252273;-;-;18/11/2024;08:49:32;0;-;-;-
823;619500000;-;0;45.064535;N;7.678643;E;1.31;6.258585;-;-;18/11/2024;08:49:38;0;-;-;-
830;619500000;-;0;45.064441;N;7.678603;E;1.32;5.541974;-;-;18/11/2024;08:49:45;0;-;-;-
837;619500000;-;0;45.064346;N;7.678564;E;1.33;6.591118;-;-;18/11/2024;08:49:52;0;-;-;-
842;619500000;-;0;45.064255;N;7.678580;E;1.34;7.333735;-;-;18/11/2024;08:49:57;0;-;-;-
845;619500000;-;2;45.064172;N;7.678632;E;1.35;10.752766;-;-;18/11/2024;08:50:00;0;-;-;-
849;619500000;-;2;45.064081;N;7.678655;E;1.36;7.424182;-;-;18/11/2024;08:50:04;0;-;-;-
854;619500000;-;2;45.064049;N;7.678574;E;1.37;22.139012;-;-;18/11/2024;08:50:09;0;-;-;-
857;619500000;-;2;45.064100;N;7.678433;E;1.39;11.118416;-;-;18/11/2024;08:50:12;0;-;-;-
864;619500000;-;2;45.064063;N;7.678346;E;1.40;3.934474;-;-;18/11/2024;08:50:19;0;-;-;-
871;619500000;-;0;45.063968;N;7.678318;E;1.41;5.441429;-;-;18/11/2024;08:50:26;0;-;-;-
878;619500000;-;0;45.063862;N;7.678296;E;1.42;8.953758;-;-;18/11/2024;08:50:33;0;-;-;-
884;619500000;-;0;45.063763;N;7.678291;E;1.43;5.283092;-;-;18/11/2024;08:50:39;0;-;-;-
890;619500000;-;0;45.063673;N;7.678265;E;1.44;6.258278;-;-;18/11/2024;08:50:45;0;-;-;-
896;619500000;-;0;45.063581;N;7.678238;E;1.45;6.230443;-;-;18/11/2024;08:50:51;0;-;-;-
903;619500000;-;0;45.063490;N;7.678178;E;1.47;6.010008;-;-;18/11/2024;08:50:58;0;-;-;-
910;619500000;-;0;45.063407;N;7.678116;E;1.48;4.398962;-;-;18/11/2024;08:51:05;0;-;-;-
918;619500000;-;0;45.063329;N;7.678046;E;1.49;4.399008;-;-;18/11/2024;08:51:13;0;-;-;-
